input_name,matched_name,tvdb_id
Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,466
Star Wars: Episode VI - Return of the Jedi,Return of the Jedi,698
Star Wars: Episode VII - The Force Awakens,Star Wars: The Force Awakens,213
Star Wars: Episode VIII - The Last Jedi,Star Wars: The Last Jedi,99
Star Wars: Episode IX - The Rise of Skywalker,Star Wars: The Rise of Skywalker,12879
Star Wars: The Clone Wars (5578),Star Wars: The Clone Wars,5578
Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,367
Solo: A Star Wars Story,Solo: A Star Wars Story,60
The Matrix,The Matrix,169
The Matrix Reloaded,The Matrix Reloaded,553
The Matrix Revolutions,The Matrix Revolutions,687
The Matrix Resurrections,The Matrix Resurrections,131590
John Wick,John Wick,155
John Wick: Chapter 2,John Wick: Chapter 2,511
John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,6494
John Wick: Chapter 4,John Wick: Chapter 4,131523
Ballerina,Ballerina,1512
Jurassic Park,Jurassic Park,867
The Lost World: Jurassic Park,The Lost World: Jurassic Park,100418
Jurassic Park III,Jurassic Park III,111647
Jurassic World,Jurassic World,200
Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,57
Jurassic World Dominion,Jurassic World Dominion,13720
Jurassic World Rebirth,Jurassic World: Rebirth,353703
Raiders of the Lost Ark,Raiders of the Lost Ark,323
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,519
The Dial of Destiny,Indiana Jones and the Dial of Destiny,134846
Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,752
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,1023
﻿The Super Mario Bros. Movie,The Super Mario Bros. Movie,136578
The Fast and the Furious,The Fast and the Furious,41146
2 Fast 2 Furious,2 Fast 2 Furious,20800
The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift,26328
Fast & Furious,Fast & Furious,39824
Fast Five,Fast Five,32308
Fast & Furious 6,Fast & Furious 6,39780
Furious 7,Furious 7,571
The Fate of the Furious,The Fate of the Furious,120
Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,10677
F9,F9,8856
Fast X,Fast X,4215
The 13th Warrior,The 13th Warrior,2131
Bulletproof Monk,Bulletproof Monk,4798
Jaws,Jaws,829
The Sixth Sense,The Sixth Sense,947
To Kill a Mockingbird,To Kill a Mockingbird,4677
Run Man Run,"Run, Man, Run",38104
Django Kill If You Live Shoot,"Django Kill... If You Live, Shoot!",18253
My Name is Nobody,My Name Is Nobody,121223
Return of Ringo,The Return of Ringo,27648
Keoma,Keoma,21395
Cemetary Without Crosses,Cemetery Without Crosses,36921
Day of Anger,Day of Anger,18969
A Bullet for the General,A Bullet for the General,19890
Face to Face,Face to Face,22458
Companeros,Companeros,26826
Duck You Sucker,Giù la testa,8341
Death Rides a Horse,Death Rides a Horse,10582
The Mercenary,The Mercenary,29626
Django,Django,397073
A Fistful of Dollars,Per un pugno di dollari,1175
The Big Gundown,The Big Gundown,9575
The Great Silence,The Great Silence,5192
For a Few Dollars More,For a Few Dollars More,976
E.T.: The Extra-Terrestrial,E.T. The Extra-Terrestrial,758
Evolution,Evolution,2781
Groundhog Day,Groundhog Day,596
Shaolin and Wu Tang,Mu mien jia sha,184468
Enter the Dragon,Enter the Dragon,1608
Game of Death,Game of Death,5309
Way of the Dragon,The Way of the Dragon,3286
Fist of Fury,Fist of Fury,2063
Big Boss,Big Boss,87595
Big Trouble in Little China,Big Trouble in Little China,1876
Schindler's List,Schindler's List,223
Baby Driver,Baby Driver,342
The Gentlemen,The Gentlemen,426845
War Games,War Games,330285
Citizen Kane,Citizen Kane,1747
Oppenheimer,Oppenheimer,287533
Lawrence of Arabia,Lawrence of Arabia,2466
The Hunt,The Hunt,131091
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,751
Requiem for a Dream,Requiem for a Dream,9496
Come and See,John Lee Hooker: Come and See About Me,215134
Capernaum,كفرناحوم,355
Once Upon a Time in America,Once Upon a Time in America,873
Once Upon a Time in Hollywood,Once Upon a Time... in Hollywood,12999
3 Idiots,3 Idiots VS The Source Engine,455729
Your Name,Call Me by Your Name,341
Joker,Joker,7644
Princess Mononoke,Princess Mononoke: How the film was conceived,298880
Good Will Hunting,Good Will Hunting,949
Braveheart,Braveheart,703
American Beauty,American Beauty,445
Oldboy,Oldboy,4568
Amadeus,Amadeus,3982
Inglourious Basterds,Inglourious Basterds,397
The Ring,The Ring,1599
The Shining,The Shining,579
The Lives of Others,Das Leben der Anderen,2526
12th Fail,१२वीं फेल,350396
Memento,Memento,434
Fullmetal Jacket,Full Metal Jacket,694
Once Upon a Time in the West,Cinderella Once Upon A Time In The West,22350
Cinema Paradiso,Nuovo Cinema Paradiso,1163
The Intouchables,Intouchables,556
Casablance,Casablanca,1762
Reservoir Dogs,Reservoir Dogs,879
Kill Bill,Kill Bill: Vol. 1,908
The Usual Suspects,The Usual Suspects,1048
Harakiri,Harakiri,60549
Grave of the Fireflies,Grave of the Fireflies,24506
American History X,American History X,896
Whiplash,Whiplash,129
Psycho,Psycho,645
Parasite,Parasite,34741
The Pianist,The Pianist,1361
Spirited Away,The Art of 'Spirited Away',187028
Terminator: Dark Fate,Terminator: Dark Fate,8725
Terminator Genisys,Terminator Genisys,208
Terminator Salvation,Terminator Salvation,861
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,663
Terminator 2: Judgement Day,Terminator 2: Judgment Day,412
The Terminator,The Terminator,470
The Green Mile,The Green Mile,308
