id,peopleId,movieId,personName,name,peopleType
65515834,7864943,63,Robbie Coltrane,Rubeus Hagrid,Actor
65515864,7966594,63,Devon Murray,Seamus Finnegan,Actor
65516329,8095196,63,Hugh Mitchell,Colin Creevey,Actor
65516334,7973412,63,Eleanor Columbus,Susan Bones,Actor
65516338,7938847,63,Jamie Yeates,Marcus Flint,Actor
65516360,8060618,63,Scot Fearn,Adrian Pucey,Actor
65516386,7938804,63,Edward Randell,Justin Finch-Fletchley,Actor
65516388,8012883,63,Louis Doyle,Ernie MacMillan,Actor
68991373,8173813,63,Steve Kloves,,Writer
68991374,9115556,63,Michael Barnathan,,Executive Producer
68991375,8404056,63,David Barron,,Executive Producer
68991376,304894,63,Chris Columbus,,Executive Producer
68991377,7921161,63,David Heyman,,Producer
68991652,8122834,63,Sean Biggerstaff,Oliver Wood,Actor
68991653,281900,63,Robert Hardy,Cornelius Fudge,Actor
68991658,9115574,63,Emily Dale,Katie Bell,Actor
68991659,7931544,63,Jamie Waylett,Vincent Crabbe,Actor
68991660,7938012,63,Joshua Herdman,Gregory Goyle,Actor
68991661,8233503,63,Martin Bayfield,Young Rubeus Hagrid,Actor
68991662,9115575,63,Danielle Tabor,Angelina Johnson,Actor
68991663,8102368,63,James Phelps,Fred Weasley,Actor
68991664,8146549,63,Oliver Phelps,George Weasley,Actor
68991668,9115576,63,Charlotte Skeoch,Hannah Abbott,Actor
68991669,263931,63,Alfred Burke,Armando Dippet,Actor
68991670,319007,63,Tom Knight,Mr Granger,Actor
68991671,278543,63,Heather Bleasdale,Mrs Granger,Actor
68991673,8548672,63,Sally Mortemore,Irma Pince,Actor
12141461,310820,154,Daniel Radcliffe,Harry Potter,Actor
12141462,356218,154,Rupert Grint,Ron Weasley,Actor
12141463,381676,154,Emma Watson,Hermione Granger,Actor
12141464,327268,154,Gary Oldman,Sirius Black,Actor
12141465,487306,154,David Thewlis,Remus Lupin,Actor
12141466,294150,154,Alan Rickman,Severus Snape,Actor
12141467,307560,154,Michael Gambon,Albus Dumbledore,Actor
12141468,255178,154,Tom Felton,Draco Malfoy,Actor
12141469,254313,154,Emma Thompson,Sybill Trelawney,Actor
12141470,356982,154,Maggie Smith,Minerva McGonagall,Actor
12141471,646874,154,Bonnie Wright,Ginny Weasley,Actor
12141472,312515,154,Timothy Spall,Peter Pettigrew,Actor
12141473,333869,154,Matthew Lewis,Neville Longbottom,Actor
12141474,247908,154,David Bradley,Argus Filch,Actor
12141475,262467,154,Julie Walters,Molly Weasley,Actor
12141476,259115,154,Mark Williams,Arthur Weasley,Actor
12141477,323003,154,Richard Griffiths,Vernon Dursley,Actor
12141478,260511,154,Fiona Shaw,Petunia Dursley,Actor
12141479,490365,154,Harry Melling,Dudley Dursley,Actor
12141480,485837,154,Alfred Enoch,Dean Thomas,Actor
12141481,589749,154,Chris Rankin,Percy Weasley,Actor
12141482,281900,154,Robert Hardy,Cornelius Fudge,Actor
12141483,317852,154,Pam Ferris,Marge Dursley,Actor
12141484,8102501,154,Warwick Davis,Filius Flitwick,Actor
12141485,274078,154,Dawn French,The Fat Lady,Actor
12141486,290359,154,Lee Ingleby,Stan Shunpike,Actor
12141487,260539,154,Lenny Henry,Shrunken Head,Actor
12141488,575540,154,Genevieve Gaunt,Pansy Parkinson,Actor
12141491,346261,154,Jimmy Gardner,Ernie Prang,Actor
12141492,312814,154,Julie Christie,Madam Rosmerta,Actor
12141493,259117,154,Paul Whitehouse,Sir Cadogan,Actor
12141494,548450,154,Geraldine Somerville,Lily Potter,Actor
